"x1"	"x2"	"x3"	"x4"	"x5"	"x6"	"x7"	"x8"	"xc1"	"xc2"	"xc3"	"xc4"	"xc5"	"xc6"	"xc7"	"y1"	"y2"	"y3"
0.1921	0.4061	2.0379	3.7291	6.838	1.4916	1.9482	3.3722	4	3	2	2	9	6	2	0	0	1
0.9284	-0.3783	1.5733	3.0123	10.0971	1.9097	-1.9712	8.4953	5	6	5	5	9	3	3	1	0	1
0.7702	0.123	1.4367	2.2944	6.8616	1.4135	0.4812	2.514	5	5	5	2	8	3	2	0	0	0
0.1667	-0.4876	3.6152	2.6548	22.8474	1.3268	-2.8885	8.0205	6	5	4	2	22	6	2	1	1	1
-0.0611	-0.0632	1.0179	0.6736	3.457	0.8265	0.4076	0.5648	3	3	2	1	4	6	1	0	0	0
-0.1321	-0.8379	2.2189	2.4672	10.8911	0.6584	-2.4406	10.502	3	1	2	5	8	3	5	1	1	1
0.6515	0.6049	3.737	3.8979	17.7019	1.2633	3.1441	10.8347	5	3	3	3	20	4	2	0	1	1
0.9631	-0.3272	2.3069	0.6973	13.0555	0.7883	-1.6441	11.8359	5	4	3	5	13	4	2	1	1	1
-0.2149	-0.7475	0.6971	1.8011	5.1144	0.5921	-0.6533	3.5448	1	6	5	5	1	6	5	1	0	0
-0.2335	0.7579	0.1781	3.17	-2.9833	0.3245	3.8627	0.4573	5	4	4	5	2	5	4	0	0	0
-0.2631	0.8443	0.1791	0.9415	-3.4143	0.6643	4.5479	1.0922	5	3	2	5	2	5	5	0	0	0
0.733	-0.7106	2.7496	0.9152	19.2033	1.3047	-4.0798	10.7597	6	5	3	4	18	6	4	1	1	1
-0.8069	-0.8658	3.2115	1.8506	20.0352	1.3727	-4.2251	17.0625	5	5	1	5	17	4	6	1	1	1
-0.4175	0.9593	1.6213	1.5246	0.9924	0.7801	2.7712	8.6647	3	1	5	5	6	3	6	1	0	0
0.2583	-0.295	1.4116	3.3413	5.5241	1.342	-0.8215	8.2501	3	3	3	5	5	3	3	1	0	0
0.3814	0.951	0.5915	2.7488	-1.5719	0.7152	4.7181	2.5197	5	3	5	4	4	4	5	0	0	0
-0.8551	-0.811	1.8214	0.1096	7.5659	0.8508	-1.4089	8.2949	2	5	5	5	5	5	5	1	0	0
0.5467	0.2456	0.3181	2.9705	0.3937	1.6837	0.9494	0.9183	4	3	4	4	2	6	2	0	0	0
-0.985	0.2857	2.8554	1.334	16.3143	1.1846	2.2808	14.8957	6	5	1	5	19	3	2	0	1	1
-0.9361	0.4663	0.6835	1.9909	1.2201	0.6028	1.247	0.7963	3	1	5	1	3	6	1	0	0	0
-0.5616	0.7568	1.4236	3.1331	4.7932	1.7031	3.6421	5.6475	5	2	2	4	8	6	4	0	0	0
-0.7432	-0.0455	0.0448	2.0389	0.6929	0.2766	-0.2363	1.2358	5	5	1	2	1	2	1	0	0	0
-0.6062	-0.7972	3.9158	0.4003	19.22	1.4257	-3.048	19.5054	4	6	5	5	16	1	5	1	1	1
0.4133	-0.0979	0.4881	1.285	0.7369	0.98	-0.2755	0.5518	1	5	4	3	1	3	1	0	0	0
-0.6682	-0.0313	3.0399	1.7852	8.9051	0.5307	0.3497	6.3965	3	5	1	2	10	5	1	0	0	1
-0.3769	-0.2406	0.8069	3.9524	4.973	0.8522	-1.7222	3.3889	6	3	3	5	6	3	2	0	0	0
0.3606	0.3213	3.7125	3.2799	3.0234	1.025	0.5372	7.2198	1	5	3	2	5	6	2	1	0	0
0.3598	-0.113	0.8405	0.3804	5.2756	1.2485	-0.652	2.2132	6	6	5	2	6	3	2	0	0	0
-0.3642	0.6071	3.2919	3.3029	7.3495	1.7387	1.6068	10.0043	3	6	5	3	11	6	3	1	1	1
0.909	-0.0774	0.575	2.5795	2.1271	0.9088	-0.3784	3.2529	3	5	5	4	3	5	1	0	0	0
-0.5979	0.1058	2.7302	0.8648	12.6483	1.5651	1.1993	11.1073	5	5	4	4	14	5	1	0	1	1
0.6518	-0.6199	0.78	0.4813	6.1018	0.1081	-2.7919	3.1671	5	3	2	4	5	3	3	1	0	0
0.4664	0.0439	3.3699	3.9725	19.2802	0.1402	-0.1864	14.0986	6	2	3	4	21	2	1	1	1	1
-0.6179	-0.5121	2.3311	1.9984	10.9989	0.736	-1.7979	9.0793	4	3	3	4	11	2	3	1	1	1
0.9933	-0.1345	2.4172	1.2894	12.0205	1.8056	-0.6665	7.8155	5	6	5	3	13	1	1	0	1	1
-0.703	-0.0768	2.4722	2.614	2.8634	0.1526	-0.204	9.7193	1	3	5	4	3	3	2	1	0	0
0.2145	-0.0854	3.8834	0.1073	20.3072	1.0416	-0.6357	19.0948	5	5	1	5	21	3	2	1	1	1
-0.7449	-0.2715	1.9338	3.6431	7.0686	1.4362	-0.9094	9.6309	3	2	5	5	7	5	2	1	0	0
0.5321	0.8174	0.9606	2.6937	0.0966	0.5346	2.9459	4.7205	4	4	2	5	4	3	5	0	0	0
-0.2425	0.118	3.7799	3.7129	19.5216	1.1553	0.5657	14.6761	5	4	3	4	20	5	2	1	1	1
-0.2778	-0.4219	0.5668	2.9139	5.6786	0.2315	-1.3012	1.5881	5	3	5	5	3	3	3	0	0	0
-0.4154	0.569	0.8692	3.881	0.5305	1.9613	2.1541	3.6833	4	5	3	4	4	4	3	0	0	0
0.323	-0.9059	2.5422	3.7746	14.9385	1.2583	-5.3044	8.1646	5	3	5	3	14	3	4	1	1	1
0.7854	0.5456	1.0091	3.8097	3.0785	0.6027	2.5974	5.1591	5	3	3	5	6	6	4	0	0	0
0.3937	0.8797	0.9523	1.8742	2.9064	0.1557	4.8791	2.134	5	5	2	2	6	6	3	0	0	0
0.3907	-0.5516	3.9798	0.2778	13.9016	1.0992	-1.6555	16.0311	3	5	3	4	13	6	3	1	1	1
-0.5981	-0.5439	0.7499	0.543	6.9923	1.8533	-2.2419	3.8368	5	4	5	5	5	3	4	1	0	0
0.0837	0.9599	2.2581	2.7841	2.4631	0.0379	2.7065	11.0545	3	5	4	5	8	6	6	1	0	0
-0.5309	-0.6544	1.7618	3.1268	11.9683	0.2896	-3.0847	9.9924	5	2	5	5	10	3	5	1	0	0
0.7456	-0.306	1.1157	1.18	4.9432	1.5915	-0.818	4.7502	3	3	3	4	5	6	2	0	0	0
0.884	-0.0036	3.2884	3.1766	16.8554	1.375	0.4474	15.6193	5	4	5	5	17	5	2	1	1	1
0.2311	0.1031	0.1914	1.8498	1.4721	0.0036	0.4756	0.7747	6	6	1	1	3	3	1	0	0	0
0.1229	-0.6119	1.3012	1.1159	5.1562	0.6964	-2.2496	2.783	3	6	1	2	5	6	2	1	0	0
-0.9063	0.0425	2.0199	2.2141	9.862	1.5053	0.2375	8.5568	5	5	1	4	11	4	1	0	1	1
-0.1193	0.9808	2.9434	3.9177	9.5009	1.346	3.9688	5.5291	4	5	4	2	13	6	3	0	0	1
0.5616	-0.0085	0.9888	0.897	5.8386	1.5965	-0.5279	5.7522	6	5	4	5	7	6	1	0	0	0
-0.6483	0.793	0.4257	1.9616	-2.1737	1.5213	1.4688	1.7652	2	2	5	4	2	3	4	0	0	0
0.8884	-0.6015	3.4784	0.9783	23.8524	0.1638	-3.6989	12.9382	6	3	1	4	22	6	4	1	1	1
-0.9715	0.1079	0.8971	0.1348	5.1508	1.8538	0.8692	4.2976	6	1	4	5	6	3	2	0	0	0
0.4246	-0.9771	1.396	3.7109	11.6146	0.762	-4.7947	7.2406	5	5	4	5	8	4	6	1	0	0
0.0509	-0.3565	1.5176	2.3151	2.176	0.3231	0.2087	2.9618	1	5	3	2	3	5	2	0	0	0
0.7559	-0.618	3.32	2.7827	22.1431	1.3863	-3.3905	14.1662	6	5	5	4	21	6	4	1	1	1
-0.0774	0.7736	2.0201	2.6503	8.2373	0.7579	3.745	6.8581	5	1	3	3	10	5	3	0	0	1
-0.3505	-0.8747	1.0224	1.8954	10.1104	1.492	-5.1836	5.1303	6	6	4	5	7	1	5	1	0	0
-0.3914	-0.6001	3.3268	1.2571	15.6176	0.5681	-2.5304	13.9232	4	1	3	4	15	2	3	1	1	1
-0.9295	0.7706	2.4915	1.8617	2.7545	0.2051	2.3509	11.9273	3	5	5	5	8	4	4	1	0	0
0.5806	-0.2513	3.4643	3.5368	17.8358	1.0131	-1.5673	9.1428	5	3	3	3	19	3	2	1	1	1
0.2565	0.2767	1.4093	1.6904	3.623	0.0649	0.7846	3.2813	3	4	5	2	5	5	2	0	0	0
-0.0127	0.8311	2.2206	2.5317	7.0221	1.5309	4.3376	11.201	5	3	5	5	12	4	5	0	0	1
-0.7124	-0.1872	2.9617	1.2658	19.0006	0.7546	-0.5202	7.1972	6	6	2	2	19	6	1	0	1	1
-0.4955	0.9832	2.3704	2.6752	3.6718	0.6095	2.8132	5.6682	3	6	5	3	8	1	4	0	0	0
0.2179	0.8828	2.7824	3.5179	11.9697	1.7797	5.5536	12.6421	6	5	4	5	18	5	5	0	1	1
0.4169	-0.0712	3.1442	2.9741	9.4238	1.2803	-0.8832	14.9802	3	4	5	5	10	3	1	1	1	1
-0.2167	0.9907	0.5519	0.2234	1.7464	1.4315	5.282	2.0297	5	3	5	1	4	4	2	0	0	0
0.8097	-0.5385	2.1418	3.2748	4.0524	1.3542	-0.3402	8.5887	1	3	3	4	3	6	3	1	0	0
-0.5368	0.3106	0.5525	3.0054	2.1232	0.3914	1.5269	2.1609	6	6	2	4	5	3	2	0	0	0
-0.3253	0.0554	1.6949	2.4077	1.6137	0.1514	0.1921	3.9366	1	5	1	3	2	3	1	0	0	0
-0.161	-0.4944	2.6962	0.2957	15.8151	1.2223	-2.4929	13.8396	5	5	5	5	15	6	3	1	1	1
0.4081	0.0855	2.6251	0.1039	7.4645	1.721	-0.3913	7.433	3	3	4	3	9	2	1	0	1	1
0.5629	0.6198	3.833	3.1013	11.8009	0.126	1.5772	4.8794	3	5	5	1	12	6	2	0	0	1
0.9119	0.9123	2.1468	1.2628	3.8704	0.925	2.2828	6.3152	3	3	5	3	7	3	4	1	0	0
0.4429	0.3839	1.351	2.8832	5.8047	0.3725	2.1712	6.8151	6	3	5	5	9	6	3	0	0	0
0.742	0.1462	2.2026	3.6957	10.3987	0.0932	0.7316	7.9621	5	1	5	4	13	3	2	0	1	1
0.0058	-0.938	3.7417	3.2897	27.8672	1.815	-5.3868	18.5618	6	5	5	5	23	6	6	1	1	1
0.7683	-0.2918	2.4208	2.2088	15.374	0.6057	-2.2621	12.1465	6	6	5	5	16	3	2	1	1	1
0.8779	-0.8559	3.5805	2.2651	6.2282	0.4738	-1.2688	7.1829	1	6	4	2	5	5	3	1	1	0
0.5868	0.0233	0.1429	3.3088	-0.4815	1.9043	-0.6921	-0.2607	1	3	5	5	1	3	1	0	0	0
0.812	0.6004	3.8684	2.3114	10.1105	0.963	1.8863	13.1839	3	5	5	3	13	1	3	1	1	1
0.9967	0.6546	1.9298	0.2565	2.0735	1.7561	1.855	8.2226	3	6	2	4	7	6	4	0	0	0
-0.98	-0.9231	3.3001	3.3866	7.8455	0.3822	-0.839	17.1843	1	3	4	5	4	5	5	1	0	0
-0.4823	0.2133	2.669	1.6651	10.9483	0.4694	1.5114	12.9468	5	5	5	5	14	4	2	0	1	1
0.6519	0.2482	1.8473	0.0936	0.9294	1.0335	0.0294	9.2413	1	5	4	5	3	6	2	0	0	0
0.0263	-0.2149	2.0434	0.8906	5.785	1.51	-0.1854	10.4175	2	2	5	5	5	6	3	1	1	0
0.9214	-0.4632	2.583	2.2147	8.5809	0.3845	-1.1529	8.4181	3	4	5	3	9	6	3	1	0	1
-0.0447	0.0159	0.4551	3.8677	2.3995	1.3565	-0.1635	2.965	6	5	5	5	4	6	1	0	0	0
-0.5535	0.5843	0.0973	2.3409	-2.8233	0.726	2.702	-1.0078	4	5	5	5	1	6	5	0	0	0
0.8361	0.8539	2.7222	2.3475	3.626	0.5889	2.3651	14.2938	3	5	4	5	9	3	5	1	1	0
-0.5624	-0.9707	2.1528	0.7148	16.444	0.3673	-4.8847	11.0047	5	5	3	5	12	4	6	1	1	1
0.5663	0.6264	3.0683	1.6982	-0.1642	1.6861	0.9282	15.1003	1	5	3	5	4	6	4	1	1	0
0.0798	-0.4164	0.2549	2.2242	1.356	1.9752	-0.5706	1.3142	1	5	3	5	1	6	3	0	0	0
-0.0771	0.8995	2.1831	2.3671	3.794	0.2145	2.2496	5.8972	3	5	5	3	8	6	3	0	0	0
0.7486	-0.1621	1.8168	2.3817	2.8262	0.8549	0.0354	4.4872	1	6	5	3	3	4	2	0	0	0
0.0487	-0.4018	2.5877	3.7517	9.9036	0.5249	-1.3799	12.8542	3	3	4	5	9	3	3	1	1	0
-0.5842	0.2882	1.3381	1.5539	3.3759	1.1937	0.6131	4.7787	3	4	5	4	5	6	2	0	0	0
-0.4963	-0.3125	0.0566	2.1093	1.4765	0.621	-0.9955	0.1205	5	3	5	5	1	3	3	0	0	0
-0.1856	-0.2287	1.9464	2.9047	12.6731	0.8038	-1.1617	5.2485	6	3	5	3	12	3	1	0	1	1
0.0175	0.7445	0.689	0.1064	-0.0248	1.0594	0.6857	0.7687	1	3	5	1	2	2	2	0	0	0
-0.5381	-0.8803	2.316	3.0924	14.7623	1.0272	-5.9393	2.3948	6	3	5	1	15	4	2	1	1	1
0.0011	0.756	3.0791	2.9906	9.3197	1.5487	2.829	12.2613	4	6	1	4	13	5	4	1	1	1
-0.5739	0.191	0.903	2.3233	4.5889	0.8211	0.867	4.545	6	1	4	5	6	6	2	0	0	0
0.804	0.1914	0.4665	0.8796	2.7258	1.7413	1.5616	1.3956	6	1	3	3	3	4	1	0	0	0
-0.6971	-0.7216	0.3324	0.9152	4.8781	0.3117	-3.8568	1.0576	6	3	2	4	3	6	4	1	0	0
0.8761	0.8406	2.7213	3.6084	6.7065	1.9368	2.464	5.2811	3	6	4	2	9	3	3	0	0	1
0.3238	0.3898	3.6947	2.2822	2.2596	1.4515	0.3089	14.1045	1	5	5	4	5	1	3	1	0	0
0.9454	0.5009	0.6958	1.0163	-0.503	0.4746	0.1762	2.158	1	3	4	3	2	6	3	0	0	0
-0.4197	0.3839	1.6383	0.7543	4.7623	0.9429	1.4166	2.3145	3	2	4	2	6	3	2	0	0	0
-0.262	-0.2282	2.4741	0.7159	15.2792	1.0441	-1.6979	4.5816	6	5	5	2	16	3	2	1	1	1
-0.3241	0.5485	1.236	0.9624	1.6176	1.4082	1.272	5.1186	3	3	5	3	5	6	3	0	0	0
0.9274	0.6566	3.4069	0.6898	16.2901	0.1511	3.1681	6.088	5	5	3	2	18	3	3	0	1	1
0.5328	-0.6387	2.0223	3.8331	8.2253	0.5128	-2.1915	8.486	3	6	3	4	7	6	4	1	1	0
0.7478	0.1625	3.1525	2.225	14.7459	1.2035	1.1506	16.8249	5	5	5	5	17	3	2	0	1	1
0.7423	-0.9935	3.9076	2.596	25.1218	1.8492	-5.0275	20.6911	5	1	2	5	20	1	6	1	1	1
0.8661	-0.6014	2.2005	2.2812	10.0618	1.9852	-1.5996	11.6645	3	5	3	5	8	3	4	1	0	0
0.8213	-0.7445	0.612	0.3401	5.5449	1.7458	-1.9293	2.2696	3	6	5	5	2	3	5	1	0	0
-0.7116	-0.847	2.2787	2.8295	11.0857	1.4375	-2.4515	11.545	3	5	3	5	8	2	5	1	0	0
0.6452	-0.3444	2.9064	1.6839	9.2061	1.7456	-1.2185	5.4188	3	6	1	2	9	6	1	1	1	1
0.6075	-0.9961	0.8348	0.0535	5.9365	0.5789	-1.077	3.3562	1	6	5	5	2	3	6	1	0	0
-0.7295	-0.6118	0.9383	0.5118	6.5921	0.2288	-2.3958	4.393	4	3	5	5	5	2	4	1	0	0
0.9173	-0.02	2.174	3.2771	13.1914	0.5871	-0.8212	10.2859	6	5	4	5	14	6	1	0	1	1
-0.0205	-0.9581	2.0686	0.3909	6.9852	1.5345	-2.497	1.3639	3	5	5	1	7	3	2	1	0	0
0.6033	-0.5291	1.7705	0.9339	10.6457	0.3565	-2.8343	4.2667	5	3	5	3	11	3	3	1	1	1
-0.667	-0.7804	3.9574	3.3122	7.8879	0.7683	-0.8438	19.8987	1	3	1	5	5	2	5	1	1	0
0.3091	0.4277	3.93	2.3345	21.273	0.3778	2.7665	19.9873	6	5	3	5	25	4	3	1	1	1
0.855	0.9314	3.6076	1.9612	13.3712	1.0902	4.9557	18.8166	5	5	5	5	19	6	6	1	1	1
0.4631	0.1782	1.3582	3.6058	7.9716	0.8113	1.3038	0.2506	6	5	5	1	9	1	1	0	0	1
0.1214	-0.1407	3.2419	2.9243	12.6445	0.6223	-0.6022	9.8777	4	3	5	3	14	6	1	1	1	1
